IncidentID,Timestamp,Resource,IncidentType,Severity,ResolutionTime
INC_1,2023-03-27 12:35:00,Resource_1,Configuration Issue,Medium,21.992404373733002
INC_2,2023-04-06 06:54:00,Resource_12,Outage,Low,20.05538094270967
INC_3,2023-04-17 20:39:00,Resource_33,Performance,Low,31.94796110035005
INC_4,2023-01-22 00:08:00,Resource_10,Performance,Low,41.64269597053481
INC_5,2023-11-04 14:27:00,Resource_37,Performance,Low,3.4224864881635884
INC_6,2023-04-24 17:54:00,Resource_35,Hardware Failure,Low,32.59621333623559
INC_7,2023-12-27 22:01:00,Resource_22,Hardware Failure,Low,35.635858208637224
INC_8,2023-02-01 01:34:00,Resource_11,Outage,Low,19.400184311680707
INC_9,2023-09-11 11:29:00,Resource_38,Security Breach,Critical,31.81639213769528
INC_10,2023-03-21 17:29:00,Resource_3,Outage,Medium,15.100185199902503
INC_11,2023-04-18 14:08:00,Resource_42,Performance,High,24.591806448986087
INC_12,2023-12-04 07:23:00,Resource_40,Configuration Issue,Low,8.743180227479714
INC_13,2023-07-11 02:39:00,Resource_10,Performance,High,19.140460894297195
INC_14,2023-02-19 07:50:00,Resource_28,Outage,Low,4.1808503707378915
INC_15,2023-12-03 14:13:00,Resource_30,Configuration Issue,Medium,6.716398557408892
INC_16,2023-05-27 00:37:00,Resource_19,Performance,Medium,26.331191092562438
INC_17,2023-06-24 10:18:00,Resource_42,Configuration Issue,Low,10.479269452164672
INC_18,2023-03-07 16:21:00,Resource_2,Outage,High,46.09039979140453
INC_19,2023-11-29 02:58:00,Resource_43,Performance,High,23.611719315507603
INC_20,2023-10-31 22:04:00,Resource_41,Outage,Low,20.588525776785104
INC_21,2023-05-01 04:02:00,Resource_40,Performance,Medium,44.486780178153616
INC_22,2023-02-03 05:07:00,Resource_19,Security Breach,Low,15.866837647529609
INC_23,2023-05-01 16:05:00,Resource_23,Configuration Issue,Low,5.720585197690516
INC_24,2023-03-21 01:07:00,Resource_13,Configuration Issue,Low,22.531232008119225
INC_25,2023-07-25 19:57:00,Resource_29,Configuration Issue,Low,31.03037874784033
