,IncidentID,Timestamp,Resource,UserID,IncidentType,Severity,ResolutionTime,Recurring,AnomalyScore,IncidentFrequency,AvgResolutionTime
0,INC_1,2023-07-14 22:56:00,Resource_13,User_241,Configuration Issue,Critical,2.7807362673041247,False,0.22291342332342734,217,22.00737491355756
1,INC_2,2023-02-12 03:02:00,Resource_32,User_492,Performance,Medium,34.90924629423999,False,0.5216775342268516,215,25.299133142740732
2,INC_3,2023-09-10 03:15:00,Resource_13,User_133,Performance,Low,14.90289428836547,False,0.20284749581121353,217,22.00737491355756
3,INC_4,2023-01-02 19:33:00,Resource_30,User_50,Security Breach,High,11.015719347785277,True,0.2681367817345921,178,24.42169410030016
4,INC_5,2023-03-27 05:01:00,Resource_10,User_289,Configuration Issue,High,35.72301303718939,True,0.6464687716424783,199,25.813421573461785
5,INC_6,2023-07-03 18:19:00,Resource_25,User_377,Performance,High,7.772047508761061,True,0.44431829930466926,206,22.811174843273616
6,INC_7,2023-02-08 07:40:00,Resource_29,User_488,Outage,Medium,14.086305072034534,False,0.8539940013827622,192,23.27280154706603
7,INC_8,2023-09-11 14:43:00,Resource_9,User_116,Configuration Issue,Critical,20.62050801616972,False,0.6625866022272172,185,21.831203880531504
8,INC_9,2023-05-21 09:42:00,Resource_24,User_319,Configuration Issue,Low,36.70385415590798,False,0.6760698515512917,192,22.437784325115253
9,INC_10,2023-06-29 15:32:00,Resource_15,User_27,Performance,Low,3.9962274713592674,True,0.26504456375167695,201,26.78805079395286
10,INC_11,2023-10-29 02:12:00,Resource_28,User_195,Performance,Medium,14.78638917783769,False,0.43554652726593635,202,19.933371874976707
11,INC_12,2023-07-12 06:55:00,Resource_17,User_122,Outage,Low,17.706569189893617,False,0.82499150350919,207,22.871756863293022
12,INC_13,2023-10-26 14:49:00,Resource_28,User_477,Security Breach,Low,21.831934980914692,False,0.5152279078495163,202,19.933371874976707
13,INC_14,2023-07-12 11:28:00,Resource_34,User_150,Performance,Low,35.85302200537384,False,0.6426741427558331,178,25.76742613517952
14,INC_15,2023-04-13 14:37:00,Resource_23,User_256,Performance,High,2.9955585976090098,False,0.6605734502289732,216,24.10607197116111
15,INC_16,2023-06-07 00:48:00,Resource_12,User_349,Outage,Low,17.11037002413223,False,0.6124208633535766,217,26.287566105833797
16,INC_17,2023-01-07 23:21:00,Resource_7,User_324,Configuration Issue,Low,20.816367965595703,True,0.07061872824129223,193,25.029370385554785
17,INC_18,2023-10-17 22:36:00,Resource_20,User_270,Performance,Medium,39.33226092355929,False,0.25497470039397463,219,25.390356486197604
18,INC_19,2023-01-07 03:07:00,Resource_24,User_218,Outage,Low,25.85641140634591,False,0.8887621525815728,192,22.437784325115253
19,INC_20,2023-04-15 21:32:00,Resource_39,User_367,Performance,Medium,17.701505824041213,False,0.5543735376659561,186,27.343726920842936
20,INC_21,2023-01-21 11:27:00,Resource_2,User_287,Configuration Issue,Low,21.876076737802236,False,0.0832445734162669,196,22.5212252802103
21,INC_22,2023-02-16 00:51:00,Resource_23,User_46,Hardware Failure,Low,10.612133071260672,False,0.28988633812803033,216,24.10607197116111
22,INC_23,2023-03-16 01:04:00,Resource_43,User_453,Hardware Failure,Low,34.808891512910925,False,0.783802350640044,197,24.62923059970586
23,INC_24,2023-01-11 22:47:00,Resource_18,User_248,Performance,Low,38.85083253498958,False,0.4319982703002767,197,17.68689706354137
24,INC_25,2023-06-23 11:14:00,Resource_35,User_72,Hardware Failure,Low,18.755667523098193,True,0.06822161349945166,196,21.90481647569547
25,INC_26,2023-09-24 17:30:00,Resource_29,User_119,Performance,High,16.687481449181252,False,0.24452411657207296,192,23.27280154706603
26,INC_27,2023-07-16 05:52:00,Resource_27,User_165,Performance,Medium,41.22981785242233,False,0.5602195019066212,205,24.830993931499957
27,INC_28,2023-10-02 15:11:00,Resource_31,User_16,Configuration Issue,Medium,35.83202619222959,False,0.8157706299256575,203,25.40905395669323
28,INC_29,2023-05-06 21:00:00,Resource_26,User_405,Configuration Issue,High,23.0864168571211,True,0.09687036895660106,212,25.92297915670421
29,INC_30,2023-07-07 07:47:00,Resource_25,User_238,Security Breach,High,18.45548355063746,False,0.01928068052872489,206,22.811174843273616
30,INC_31,2023-07-20 18:38:00,Resource_31,User_264,Performance,Low,21.374059852858878,False,0.2879176779062165,203,25.40905395669323
31,INC_32,2023-12-26 03:32:00,Resource_32,User_202,Configuration Issue,Low,16.654387171956817,True,0.5995693547325053,215,25.299133142740732
32,INC_33,2023-04-29 04:13:00,Resource_1,User_226,Performance,Low,38.91678280334827,False,0.14674769754245798,171,26.842257797962112
33,INC_34,2023-04-19 12:57:00,Resource_39,User_147,Performance,Low,20.73517324303927,False,0.9804235308733783,186,27.343726920842936
34,INC_35,2023-06-23 10:50:00,Resource_13,User_481,Performance,High,40.62838871566896,True,0.5910459490272364,217,22.00737491355756
35,INC_36,2023-05-01 05:29:00,Resource_28,User_80,Security Breach,Low,31.598048489863825,True,0.8756884446567043,202,19.933371874976707
36,INC_37,2023-08-24 18:11:00,Resource_49,User_387,Performance,Low,34.26199620797427,False,0.45401371572596905,212,25.32982655775149
37,INC_38,2023-02-23 05:41:00,Resource_42,User_440,Security Breach,High,46.849304694858176,False,0.04761388643882103,205,23.068957820629574
38,INC_39,2023-08-19 12:59:00,Resource_4,User_316,Outage,Low,38.897805556643526,False,0.9676436180788909,223,23.936150145745316
39,INC_40,2023-03-19 11:05:00,Resource_39,User_163,Performance,Low,1.979020312799926,False,0.14456995296651953,186,27.343726920842936
40,INC_41,2023-11-14 13:59:00,Resource_20,User_488,Outage,Medium,10.074119479418263,False,0.16090991387059062,219,25.390356486197604
41,INC_42,2023-09-11 12:32:00,Resource_48,User_348,Outage,High,2.8666767156127615,False,0.08849950292700592,176,24.757290360442337
42,INC_43,2023-03-25 00:54:00,Resource_1,User_446,Performance,Low,30.696185447087267,False,0.5155034530182692,171,26.842257797962112
43,INC_44,2023-05-15 13:40:00,Resource_23,User_292,Performance,Low,46.97513624161796,False,0.3511082403106399,216,24.10607197116111
44,INC_45,2023-07-24 22:07:00,Resource_23,User_485,Security Breach,Medium,27.91809147627984,False,0.7308377436381489,216,24.10607197116111
45,INC_46,2023-05-09 16:07:00,Resource_34,User_366,Configuration Issue,High,41.01102210163433,False,0.29253961769923764,178,25.76742613517952
46,INC_47,2023-12-03 19:19:00,Resource_21,User_160,Performance,Medium,40.74931744683708,False,0.1127303359429559,226,26.063278707249374
47,INC_48,2023-03-22 15:12:00,Resource_37,User_214,Performance,Low,14.736095867414273,False,0.6217855607982927,201,26.778906186990593
48,INC_49,2023-02-09 15:47:00,Resource_41,User_426,Performance,Medium,35.864943863984635,False,0.8620121608415525,199,25.46658717782988
49,INC_50,2023-08-03 03:32:00,Resource_32,User_413,Performance,Low,29.132756099989976,False,0.1340403774113511,215,25.299133142740732
50,INC_51,2023-04-07 17:13:00,Resource_5,User_23,Performance,Low,25.95851780711752,True,0.6474557971922834,181,22.467253029333996
51,INC_52,2023-03-28 22:32:00,Resource_16,User_179,Performance,High,24.08545948411903,False,0.5674564769738829,182,23.310191337789504
52,INC_53,2023-04-15 10:11:00,Resource_41,User_255,Performance,Low,37.86534506270143,True,0.6267788562949024,199,25.46658717782988
53,INC_54,2023-01-30 13:25:00,Resource_38,User_310,Configuration Issue,Medium,39.512552705945474,False,0.8155635180645956,175,25.5903889813053
54,INC_55,2023-06-05 07:03:00,Resource_44,User_86,Performance,High,30.199541806391263,False,0.254097824767447,212,26.252018199163413
55,INC_56,2023-12-07 09:45:00,Resource_28,User_425,Outage,Low,25.943683610760928,True,0.21074532118329536,202,19.933371874976707
56,INC_57,2023-06-07 07:06:00,Resource_23,User_61,Hardware Failure,Medium,18.258495908780993,False,0.9812722124335108,216,24.10607197116111
57,INC_58,2023-04-07 16:28:00,Resource_32,User_316,Performance,Low,43.45602868802954,True,0.3930731674275538,215,25.299133142740732
58,INC_59,2023-01-28 14:56:00,Resource_48,User_31,Configuration Issue,High,27.612315423245025,False,0.7183629837201867,176,24.757290360442337
59,INC_60,2023-06-06 11:17:00,Resource_4,User_1,Performance,High,0.8969261581013983,True,0.2056003950473847,223,23.936150145745316
60,INC_61,2023-08-22 07:49:00,Resource_13,User_142,Performance,Low,35.76555276705706,False,0.5561066814562523,217,22.00737491355756
61,INC_62,2023-07-21 22:33:00,Resource_7,User_436,Security Breach,Low,26.84118008168133,False,0.18586699960658892,193,25.029370385554785
62,INC_63,2023-02-11 18:53:00,Resource_24,User_81,Security Breach,High,40.570500477902705,True,0.09361930000507912,192,22.437784325115253
63,INC_64,2023-08-15 20:20:00,Resource_22,User_215,Hardware Failure,Critical,23.807251228310616,False,0.5052318539062507,207,26.27448170125691
64,INC_65,2023-02-27 09:02:00,Resource_46,User_441,Configuration Issue,Low,18.26069507330855,True,0.6585428392214622,204,26.306412962046185
65,INC_66,2023-07-04 21:15:00,Resource_4,User_145,Security Breach,Low,13.693105692655907,False,0.0378270655122922,223,23.936150145745316
66,INC_67,2023-12-13 12:32:00,Resource_30,User_136,Performance,Low,13.951868067779433,False,0.8029591174476606,178,24.42169410030016
67,INC_68,2023-08-16 01:21:00,Resource_5,User_17,Performance,Medium,15.761483950743774,False,0.003199979773756967,181,22.467253029333996
68,INC_69,2023-11-16 02:10:00,Resource_27,User_374,Configuration Issue,Low,38.068538822134535,True,0.042361117000695336,205,24.830993931499957
69,INC_70,2023-05-05 05:25:00,Resource_12,User_383,Security Breach,Low,3.3147717771652605,False,0.20012386359881662,217,26.287566105833797
70,INC_71,2023-07-04 18:40:00,Resource_34,User_344,Outage,Low,27.33139354431707,True,0.06581835924887813,178,25.76742613517952
71,INC_72,2023-10-14 18:10:00,Resource_19,User_348,Configuration Issue,Low,43.873588890680885,False,0.8783006640430441,199,28.517720736279347
