Timestamp,UserID,Action,Resource,IP_Address,Location,Success
2024-01-01 03:13:00,User_76,Configuration_Change,N/A,192.168.106.218,Remote,True
2024-01-01 03:13:00,User_74,Login,Server_2,192.168.12.251,HQ,True
2024-01-01 03:13:00,User_30,File_Access,File_2,192.168.149.38,Remote,N/A
2024-01-01 03:13:00,User_20,Failed_Login,N/A,192.168.162.128,Remote,False
2024-01-01 05:51:00,User_80,Logout,Server_2,192.168.146.159,HQ,N/A
2024-01-01 06:38:00,User_93,Failed_Login,Server_1,192.168.106.239,Branch_Office,N/A
2024-01-01 06:38:00,User_30,Logout,File_1,192.168.139.34,HQ,N/A
2024-01-01 08:40:00,User_37,Logout,N/A,192.168.78.18,Remote,N/A
2024-01-01 09:47:00,User_42,File_Access,Server_2,192.168.69.209,Remote,True
2024-01-01 14:11:00,User_30,Logout,Server_1,192.168.255.28,Remote,N/A
2024-01-01 14:11:00,User_9,Configuration_Change,N/A,192.168.217.43,Remote,N/A
2024-01-01 14:11:00,User_2,File_Access,N/A,192.168.245.61,Branch_Office,N/A
2024-01-01 15:50:00,User_64,File_Access,File_2,192.168.71.22,Remote,N/A
2024-01-01 16:12:00,User_100,Logout,N/A,192.168.104.29,HQ,True
2024-01-01 16:41:00,User_32,Logout,Database_1,192.168.226.47,Remote,False
2024-01-01 16:57:00,User_5,Failed_Login,Server_2,192.168.247.254,Remote,N/A
2024-01-01 16:57:00,User_16,Failed_Login,N/A,192.168.147.32,HQ,N/A
2024-01-01 17:28:00,User_47,Failed_Login,N/A,192.168.35.208,HQ,True
2024-01-01 17:28:00,User_45,Logout,N/A,192.168.155.125,Branch_Office,N/A
2024-01-01 17:28:00,User_52,Login,File_2,192.168.87.157,Remote,N/A
2024-01-01 17:56:00,User_11,Configuration_Change,Server_1,192.168.31.248,Remote,N/A
2024-01-01 17:56:00,User_29,Failed_Login,File_1,192.168.124.18,Branch_Office,N/A
2024-01-01 17:56:00,User_87,Configuration_Change,N/A,192.168.17.28,HQ,False
2024-01-01 19:50:00,User_21,File_Access,N/A,192.168.12.148,Branch_Office,N/A
2024-01-01 19:50:00,User_98,Logout,N/A,192.168.238.9,Branch_Office,N/A
2024-01-01 19:50:00,User_33,Failed_Login,File_1,192.168.242.6,Branch_Office,N/A
2024-01-01 20:31:00,User_35,File_Access,N/A,192.168.146.156,Remote,N/A
2024-01-01 23:39:00,User_82,Login,N/A,192.168.242.116,Branch_Office,N/A
2024-01-01 23:39:00,User_38,Logout,N/A,192.168.175.239,Branch_Office,False
2024-01-01 23:39:00,User_51,Failed_Login,N/A,192.168.231.238,Branch_Office,N/A
2024-01-02 00:39:00,User_94,Login,File_1,192.168.143.242,Remote,N/A
2024-01-02 01:23:00,User_43,Configuration_Change,N/A,192.168.85.238,HQ,True
2024-01-02 01:23:00,User_86,Login,Database_1,192.168.185.117,Branch_Office,N/A
