IncidentID,Timestamp,Resource,UserID,IncidentType,Severity,ResolutionTime,Recurring,AnomalyScore
INC_1,2023-10-03 22:39:00,Resource_17,User_310,Performance,Medium,11.372492961912673,False,0.6509414081623436
INC_2,2023-12-28 19:12:00,Resource_3,User_438,Hardware Failure,Medium,29.434844973130808,False,0.7457214517159377
INC_3,2023-07-19 21:18:00,Resource_18,User_304,Outage,Medium,10.97308534335608,True,0.1212602658358839
INC_4,2023-05-15 21:34:00,Resource_21,User_253,Performance,Medium,46.2838721024429,False,0.3238753579867626
INC_5,2023-06-06 03:38:00,Resource_23,User_165,Security Breach,Low,8.223185731515045,True,0.08103893993677147
INC_6,2023-10-24 16:32:00,Resource_16,User_82,Outage,Low,31.146900487417884,False,0.9131242361590467
INC_7,2023-07-01 04:07:00,Resource_43,User_323,Hardware Failure,Medium,19.335684924004315,True,0.3670634879301028
INC_8,2023-12-02 15:01:00,Resource_47,User_366,Performance,High,8.541068918385884,False,0.26473039874599846
INC_9,2023-07-05 07:20:00,Resource_6,User_339,Performance,Medium,33.43275240929102,True,0.5610842951952811
INC_10,2023-09-25 21:14:00,Resource_22,User_84,Performance,Low,33.95014473419698,False,0.46429816025925585
INC_11,2023-12-26 17:25:00,Resource_18,User_121,Performance,Medium,45.7502056426089,False,0.06428229487013903
INC_12,2023-08-07 06:11:00,Resource_18,User_336,Performance,Medium,12.825909744327795,False,0.5606974046209876
INC_13,2023-09-07 22:37:00,Resource_5,User_345,Performance,Low,2.2898905207192852,False,0.6345283929816569
INC_14,2023-06-26 18:14:00,Resource_43,User_114,Performance,Low,36.686133606773254,False,0.7836503731632145
INC_15,2023-11-27 21:08:00,Resource_2,User_453,Performance,High,20.263005596471665,False,0.05318883366414873
INC_16,2023-07-16 08:24:00,Resource_46,User_402,Outage,Medium,1.8073823535096385,True,0.6670120552265094
INC_17,2023-05-06 22:50:00,Resource_20,User_185,Hardware Failure,Medium,31.02400591175035,False,0.23801489308018242
INC_18,2023-06-04 12:37:00,Resource_13,User_382,Configuration Issue,Low,30.310545116143963,False,0.38667119814647677
INC_19,2023-12-28 08:55:00,Resource_21,User_79,Configuration Issue,Medium,31.38575723808537,False,0.3861762460033442
INC_20,2023-01-04 21:58:00,Resource_40,User_214,Performance,Medium,43.02589345823954,True,0.5839462283948895
INC_21,2023-02-07 08:44:00,Resource_41,User_192,Hardware Failure,Low,47.75809158952351,False,0.2150350039925465
INC_22,2023-06-07 14:46:00,Resource_28,User_224,Outage,Medium,45.368954506240115,False,0.5995618766327176
INC_23,2023-04-04 11:08:00,Resource_34,User_319,Outage,Low,4.067367927835629,False,0.620753706959573
INC_24,2023-11-15 11:21:00,Resource_4,User_237,Configuration Issue,Critical,6.716908152743634,False,0.8490475752633369
INC_25,2023-06-27 22:50:00,Resource_30,User_328,Outage,Low,35.454888379747835,False,0.6465488625096206
INC_26,2023-09-11 15:56:00,Resource_36,User_283,Performance,Medium,1.7242053737256178,False,0.09287856951533457
